Longitude,Latitude,D_Middle School,Rooms,Halls,Area,Orientation,Renovation,Floor_Position,Total_Floors,Building_Type,D_Hospital,D_Subway Station,D_Primary_School,Price
120.6677407,31.31515296,1631.963482,3,2,111.87,2,1,1,11,1,1603.15917,372.7480833,1597.054548,450
120.7386927,31.32330458,1473.653139,4,2,163,2,1,2,18,1,1417.186054,581.8336744,1841.439766,649
120.5659097,31.29580223,1099.70615,2,2,92.7,2,1,1,10,1,1342.810224,927.7371731,1509.818004,368
120.7593945,31.32027691,1262.59356,3,2,116.07,2,3,3,27,3,752.4899058,650.4673366,548.0090211,460
120.5978066,31.29036102,749.1561412,3,2,106.47,2,1,3,25,3,1415.116474,909.7033017,0,420
120.7555398,31.29896268,1197.357185,3,2,106.51,2,1,2,17,3,2160.203045,562.5076799,1197.357185,420
120.7630349,31.33931236,3187.343862,3,2,98.38,2,1,1,9,1,2572.493553,0,2653.272381,384.8
120.7312312,31.32218056,1945.639447,2,2,95.03,2,1,2,18,3,1492.253775,478.193194,2174.227438,368
120.4286199,31.34211666,1360.418844,4,2,162.98,2,1,1,6,1,1988.72673,10220.96803,503.0018205,630
120.6418052,31.31209379,688.131191,3,1,72.51,2,2,1,3,3,1035.425978,505.5596334,433.7905137,280
120.674496,31.29053468,1473.31188,4,3,110.59,2,3,1,3,3,313.0168179,927.3680076,343.3303704,427
120.5759021,31.29687588,1162.438545,3,2,115.61,2,1,3,18,3,1501.618636,81.04027112,686.7676395,446
120.6146602,31.22558993,939.8484951,4,2,196.52,2,1,1,4,3,1993.082942,720.0877916,1723.746045,758
120.6357848,31.29517066,638.4479947,2,1,61.84,2,2,1,3,3,675.2588554,686.2641794,424.6249376,238
120.7074436,31.33622538,3346.168626,3,2,101.47,2,1,1,33,3,2521.23756,954.9843546,1760.072353,388
120.7555398,31.29896268,1197.357185,3,2,107,2,1,2,17,3,2160.203045,562.5076799,1197.357185,408
120.7027444,31.3360013,3532.201085,2,2,88.93,2,1,3,25,1,2966.625792,1174.800226,1577.092684,338
120.7364758,31.3231063,1604.856557,3,2,129.22,2,1,2,11,3,1386.973632,664.8586353,2025.057812,489
120.5451262,31.28012082,1332.091263,3,2,129.64,2,1,2,26,3,978.5434118,1182.844143,687.9473577,488
120.7485487,31.32406905,1195.868592,4,2,143.28,2,1,3,28,3,1852.775427,478.6419485,1138.826155,539
120.7529324,31.32487733,1341.394552,3,2,93.06,2,1,3,28,1,1550.670147,354.5029898,1015.633933,350
120.756784,31.32769772,1765.952609,3,2,126.31,2,1,3,25,3,1529.876569,572.4342048,1282.159905,475
120.7593945,31.32027691,1262.59356,3,2,114.93,2,1,3,22,3,752.4899058,650.4673366,548.0090211,430
120.6176467,31.35843297,1665.194324,3,2,115.19,2,1,2,17,1,2182.47215,1140.171867,1277.709498,430
